county,total_votes,rep_votes,dem_votes,rep_percentage,dem_percentage,Party
"Abbeville County, South Carolina",12433,8215,4101,0.6607415748411486,0.3298479852006756,0
"Abbot, Maine",417,288,121,0.6906474820143885,0.290167865707434,0
"Abington, Massachusetts",9660,4236,5209,0.43850931677018634,0.5392339544513458,1
"Acadia Parish, Louisiana",28425,22596,5443,0.794934036939314,0.19148636763412488,0
"Accomack County, Virginia",16962,9172,7578,0.5407381205046574,0.4467633533781394,0
"Acton, Maine",1636,930,651,0.5684596577017115,0.39792176039119803,0
"Acton, Massachusetts",13927,2471,11105,0.1774251454010196,0.7973720112012638,1
"Acushnet, Massachusetts",6068,3290,2664,0.542188529993408,0.43902439024390244,0
"Acworth, New Hampshire",569,269,293,0.4727592267135325,0.5149384885764499,1
"Ada County, Idaho",259389,130699,120539,0.5038725620593009,0.46470359190250937,0
"Adair County, Iowa",4177,2917,1198,0.6983480967201341,0.28680871438831695,0
"Adair County, Kentucky",8768,7276,1392,0.8298357664233577,0.15875912408759124,0
"Adair County, Missouri",10336,6413,3710,0.620452786377709,0.3589396284829721,0
"Adair County, Oklahoma",7108,5585,1387,0.7857343837929094,0.19513224535734383,0
"Adams County, Colorado",236735,95657,134202,0.40406783956744885,0.5668870255771221,1
"Adams County, Idaho",2586,1941,591,0.7505800464037123,0.228538283062645,0
"Adams County, Illinois",33527,24220,8633,0.7224028395024905,0.25749396009186626,0
"Adams County, Indiana",14209,10686,3236,0.7520585544373285,0.22774297980153424,0
"Adams County, Iowa",2160,1530,590,0.7083333333333334,0.27314814814814814,0
"Adams County, Mississippi",13759,5696,7917,0.4139835743876735,0.5754051893306199,1
"Adams County, Nebraska",14653,10085,4213,0.6882549648536136,0.28751791442025526,0
"Adams County, North Dakota",1269,981,258,0.7730496453900709,0.2033096926713948,0
"Adams County, Ohio",12145,9870,2156,0.8126801152737753,0.17752161383285303,0
"Adams County, Pennsylvania",56714,37523,18207,0.6616179426596608,0.3210318439891385,0
"Adams County, Washington",5862,3907,1814,0.6664960764244285,0.3094506994199932,0
"Adams County, Wisconsin",11818,7362,4329,0.622948045354544,0.36630563547131495,0
"Adams, Massachusetts",4441,1428,2894,0.32154920063048864,0.651655032650304,1
"Addison, Maine",706,451,235,0.6388101983002833,0.3328611898016997,0
"Addison, Vermont",870,379,445,0.435632183908046,0.5114942528735632,1
"Agawam, Massachusetts",16185,8073,7794,0.4987951807228916,0.48155699721964784,0
"Aiken County, South Carolina",85185,51589,32275,0.6056113165463404,0.37888125843751835,0
"Aitkin County, Minnesota",10025,6258,3607,0.6242394014962593,0.3598004987531172,0
"Alachua County, Florida",142604,50972,89704,0.35743737903565115,0.629042663599899,1
"Alamance County, North Carolina",86091,46056,38825,0.5349688120709482,0.4509762925276742,0
"Alameda County, California",769864,136309,617659,0.1770559475439818,0.8022962497272246,1
"Alamosa County, Colorado",7808,3813,3759,0.4883452868852459,0.48142930327868855,0
"Albany County, New York",153586,51081,99474,0.3325889078431628,0.6476762204888467,1
"Albany County, Wyoming",18617,8579,9092,0.46081538378901005,0.488370843852393,1
"Albany, New Hampshire",449,190,250,0.42316258351893093,0.5567928730512249,1
"Albany, Vermont",540,235,286,0.4351851851851852,0.5296296296296297,1
"Albemarle County, Virginia",64657,20804,42466,0.321759438266545,0.6567889014337195,1
"Albion, Maine",1219,801,385,0.6570959803117309,0.3158326497128794,0
"Alburgh, Vermont",1079,499,550,0.46246524559777574,0.5097312326227988,1
"Alcona County, Michigan",7064,4848,2142,0.6862967157417894,0.3032276330690827,0
"Alcorn County, Mississippi",15813,12818,2782,0.8105988743438942,0.17593119585151457,0
"Alexander County, Illinois",2618,1486,1114,0.5676088617265088,0.4255156608097785,0
"Alexander County, North Carolina",20236,15888,4145,0.7851354022534097,0.2048329709428741,0
"Alexander, Maine",308,224,73,0.7272727272727273,0.237012987012987,0
"Alexandria city, Virginia",82508,14544,66240,0.17627381587240026,0.8028312406069714,1
"Alexandria, New Hampshire",1080,616,440,0.5703703703703704,0.4074074074074074,0
"Alfalfa County, Oklahoma",2262,1978,232,0.874447391688771,0.10256410256410256,0
"Alford, Massachusetts",325,50,271,0.15384615384615385,0.8338461538461538,1
"Alfred, Maine",1995,948,983,0.47518796992481205,0.49273182957393485,1
"Alger County, Michigan",5128,3014,2053,0.5877535101404057,0.4003510140405616,0
"Allagash, Maine",169,95,74,0.5621301775147929,0.4378698224852071,0
"Allamakee County, Iowa",7422,4735,2576,0.6379682026407977,0.3470762597682565,0
"Allegan County, Michigan",67094,41392,24449,0.6169255074969446,0.3643992011208156,0
"Allegany County, Maryland",30641,20886,9158,0.6816357168499723,0.2988805848373095,0
"Allegany County, New York",20716,14135,6048,0.6823228422475381,0.29194825255840895,0
"Alleghany County, North Carolina",6076,4527,1486,0.7450625411454904,0.2445687952600395,0
"Alleghany County, Virginia",8203,5859,2243,0.7142508838229916,0.27343654760453495,0
"Allegheny County, Pennsylvania",724800,282913,430759,0.3903325055187638,0.594314293598234,1
"Allen County, Indiana",169082,92083,73189,0.5446055759927136,0.432860978696727,0
"Allen County, Kansas",5842,4155,1559,0.7112290311537145,0.2668606641561109,0
"Allen County, Kentucky",9364,7587,1642,0.8102306706535668,0.17535241349850492,0
"Allen County, Ohio",48006,33116,14149,0.6898304378619339,0.2947339915843853,0
"Allen Parish, Louisiana",9810,7574,2108,0.7720693170234455,0.2148827726809378,0
"Allendale County, South Carolina",3593,835,2718,0.23239632618981354,0.7564709156693571,1
